Timer,Time (s),MFLOPS (mops/s),FLOP (op)
Solver Setup,0.097200,0.000000,0
Solver,6.396900,292.491486,1.87104e+09
Solver Cleanup,0.078600,0.000000,0
Matvec,1.014000,651.936410,6.61064e+08
PFSB I/O,0.000000,0.000000,0
PFB I/O,0.684800,0.000000,0
CLM,0.000000,0.000000,0
PFSOL Read,0.000000,0.000000,0
Clustering,2.226600,0.000000,0
MGSemi,2.235100,684.550485,1.53004e+09
PCG,2.713500,689.529680,1.87104e+09
Permeability Face,0.000000,0.000000,0
Phase Velocity Face,0.000000,0.000000,0
Total Velocity Face,0.000000,0.000000,0
Godunov Saturation,0.000000,0.000000,0
Godunov Advection,0.000000,0.000000,0
Geometries,1.319800,0.000000,0
SubsrfSim,0.034400,0.000000,0
Porosity,0.009700,0.000000,0
Total Runtime,6.575300,-nan,0
